nome
Ação
Animação
Aventura
Cinema catástrofe
Comédia
Comédia romântica
Comédia dramática
Comédia de ação
Cult
Dança
Documentário
Drama
Espionagem
Fantasia
Faroeste (ou western)
Ficção científica
Guerra
Musical
Policial
Romance
Suspense
Terror (ou horror)
Trash
